Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
TRN,NAME,TWTF1_4,ON,2,0,{}
LOAD,NAME,LOAD4C,ON,2.016666667,0,{}
GEN,NAME,GEN1,UPDATE,2.033333333,0,{'P': 10}
LOAD,NAME,LOAD4B,ON,4,0,{}
GEN,NAME,GEN1,UPDATE,4.016666667,0,{'P': 18}
BRN,NAME,BRN4_9,ON,6,0,{}
LOAD,NAME,LOAD9D,ON,6.016666667,0,{}
GEN,NAME,GEN1,UPDATE,6.033333333,0,{'P': 34}
LOAD,NAME,LOAD9A,ON,8,0,{}
GEN,NAME,GEN1,UPDATE,8.016666667,0,{'P': 49}
BRN,NAME,BRN8_9,ON,10,0,{}
LOAD,NAME,LOAD8B,ON,10.01666667,0,{}
GEN,NAME,GEN1,UPDATE,10.03333333,0,{'P': 62}
LOAD,NAME,LOAD8D,ON,12,0,{}
GEN,NAME,GEN1,UPDATE,12.01666667,0,{'P': 74}
TRN,NAME,TWTF2_8,ON,14,0,{}
LOAD,NAME,LOAD9C,ON,14.01666667,0,{}
GEN,NAME,GEN1,UPDATE,14.03333333,0,{'P': 84}
LOAD,NAME,LOAD8C,ON,16,0,{}
GEN,NAME,GEN2,ON,16.01666667,0,{}
GEN,NAME,GEN1,UPDATE,16.03333333,0,{'P': 102.6}
BRN,NAME,BRN4_5,ON,18,0,{}
LOAD,NAME,LOAD5C,ON,18.01666667,0,{}
GEN,NAME,GEN1,UPDATE,18.03333333,0,{'P': 117.6}
LOAD,NAME,LOAD5D,ON,20,0,{}
GEN,NAME,GEN1,UPDATE,20.01666667,0,{'P': 130.6}
BRN,NAME,BRN5_6,ON,22,0,{}
LOAD,NAME,LOAD5B,ON,22.01666667,0,{}
GEN,NAME,GEN1,UPDATE,22.03333333,0,{'P': 142.6}
LOAD,NAME,LOAD6A,ON,24,0,{}
GEN,NAME,GEN1,UPDATE,24.01666667,0,{'P': 152.6}
TRN,NAME,TWTF3_6,ON,26,0,{}
LOAD,NAME,LOAD6B,ON,26.01666667,0,{}
GEN,NAME,GEN1,UPDATE,26.03333333,0,{'P': 162.6}
LOAD,NAME,LOAD6C,ON,28,0,{}
GEN,NAME,GEN3,ON,28.01666667,0,{}
GEN,NAME,GEN1,UPDATE,28.03333333,0,{'P': 176.44}
BRN,NAME,BRN7_8,ON,30,0,{}
LOAD,NAME,LOAD7A,ON,30.01666667,0,{}
GEN,NAME,GEN1,UPDATE,30.03333333,0,{'P': 192.44}
LOAD,NAME,LOAD7B,ON,32,0,{}
GEN,NAME,GEN1,UPDATE,32.01666667,0,{'P': 207.44}
BRN,NAME,BRN6_7,ON,34,0,{}
LOAD,NAME,LOAD5A,ON,34.01666667,0,{}
GEN,NAME,GEN1,UPDATE,34.03333333,0,{'P': 214.44}
LOAD,NAME,LOAD9B,ON,36,0,{}
GEN,NAME,GEN1,UPDATE,36.01666667,0,{'P': 220.44}
LOAD,NAME,LOAD4A,ON,38,0,{}
GEN,NAME,GEN1,UPDATE,38.01666667,0,{'P': 225.44}
LOAD,NAME,LOAD8A,ON,40,0,{}
GEN,NAME,GEN1,UPDATE,40.01666667,0,{'P': 228.44}
GEN,NAME,GEN1,UPDATE,68,0,{'P': 218.2}
GEN,NAME,GEN3,UPDATE,68.01666667,0,{'P': 6.4}
GEN,NAME,GEN1,UPDATE,70,0,{'P': 205.4}
GEN,NAME,GEN3,UPDATE,70.01666667,0,{'P': 19.2}
GEN,NAME,GEN1,UPDATE,72,0,{'P': 192.6}
GEN,NAME,GEN3,UPDATE,72.01666667,0,{'P': 32}
GEN,NAME,GEN1,UPDATE,74,0,{'P': 179.8}
GEN,NAME,GEN3,UPDATE,74.01666667,0,{'P': 44.8}
GEN,NAME,GEN1,UPDATE,76,0,{'P': 138.2}
GEN,NAME,GEN2,UPDATE,76.01666667,0,{'P': 19.2}
GEN,NAME,GEN3,UPDATE,76.03333333,0,{'P': 57.6}
GEN,NAME,GEN1,UPDATE,78,0,{'P': 88.7}
GEN,NAME,GEN2,UPDATE,78.01666667,0,{'P': 55.9}
GEN,NAME,GEN3,UPDATE,78.03333333,0,{'P': 70.4}
GEN,NAME,GEN1,UPDATE,80,0,{'P': 39.2}
GEN,NAME,GEN2,UPDATE,80.01666667,0,{'P': 92.6}
GEN,NAME,GEN3,UPDATE,80.03333333,0,{'P': 83.2}
